Accession	Organism	Samples	Type	Platform	Title	Year	Summary	Link	Paper_title	Journal	Impact factor 2018	doi or pubmed id	All references	Type of molecule	BioProject link (NCBI)	BioProject link (EBI)	SRA
GSE140995	Homo sapiens	12	Methylation profiling by high throughput sequencing; Other	GPL16791	Multiple links between 5-methylcytosine content of mRNA and translation	2019-11-25	5-methylcytosine (m5C) is a prevalent base modification in tRNA and rRNA but it also occurs more broadly in the transcriptome, including in mRNA. In pursuit of potential links of m5C with mRNA translation, we performed polysome profiling of human HeLa cell lysates and subjected RNA from resultant fractions to efficient bisulfite conversion followed by RNA sequencing (bsRNA-seq). Bioinformatic filters for rigorous site calling were devised to reduce technical noise. We obtained ~1,000 candidate m5C sites in the wider transcriptome, most of which were found in exonic regions of mRNA. Multiple novel sites were validated by amplicon-specific bsRNA-seq in independent samples of either human HeLa, LNCap and PrEC cells. Furthermore, RNAi-mediated depletion of either the NSUN2 or TRDMT1 m5C:RNA methyltransferases showed a clear dependence on NSUN2 for the majority of tested sites in mRNA and noncoding RNA. Candidate m5C sites in mRNAs are enriched in 5’UTRs and near start codons, and commonly embedded in a local context reminiscent of the NSUN2-dependent m5C sites found in the variable loop of tRNA. Analysing mRNA sites across the polysome profile revealed that non-conversion levels, at bulk and for many individual sites, were inversely correlated with ribosome association. Altogether, these findings emphasise the major role of NSUN2 in making this mark transcriptome-wide and further substantiate a functional interdependence of cytosine methylation level with mRNA translation	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE140995	Multiple links between 5-methylcytosine content of mRNA and translation.	BMC biology	6.723	https://doi.org/10.1186/s12915-020-00769-5	{BMC biology (6.723): 10.1186/s12915-020-00769-5}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA591627	https://www.ebi.ac.uk/ena/browser/view/PRJNA591627	https://www.ncbi.nlm.nih.gov/sra?term=SRP233220
GSE128345	Homo sapiens	24	Expression profiling by high throughput sequencing	GPL16791	A large panel of isogenic APP and PSEN1 mutant human iPSC neurons reveals shared endosomal abnormalities mediated by APP b-CTFs, not Ab	2019-03-15	This SuperSeries is composed of the SubSeries listed below.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128345	A Large Panel of Isogenic APP and PSEN1 Mutant Human iPSC Neurons Reveals Shared Endosomal Abnormalities Mediated by APP β-CTFs, Not Aβ.	Neuron	14.403	https://doi.org/10.1016/j.neuron.2019.07.010	{Neuron (14.403): 10.1016/j.neuron.2019.07.010}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA527199	https://www.ebi.ac.uk/ena/browser/view/PRJNA527199	None
GSE102204	Mus musculus	20	Expression profiling by high throughput sequencing	GPL13112	Transcriptome and translatome profiling from brains of  a mouse model of severe SMA	2017-08-03	Spinal muscular atrophy (SMA) is the most common genetic cause of infant mortality, with an incidence of around 1 in 6,000-10,000 live births. SMA is caused by low levels of full-length survival of motor neuron protein (SMN). Approximately 95% of SMA cases in humans are caused by homozygous deletion of SMN1, with a smaller number caused by discrete mutations within the gene. In concert with other RNA binding proteins, SMN forms complexes both in the nucleus and the cytoplasm of neurons. As such, SMN protein has housekeeping roles in the assembly of ribonucleoprotein (RNP) complexes. In addition, SMN localises to dendrites, synapses and axons in vivo and in vitro, where it is part of messenger RNP (mRNP) complexes with well-known roles in the transport of mRNA. These cellular processes are tightly linked to local translation, suggesting that SMN may play a pivotal role in its regulation. We employed next generation sequencing (NGS) to identify and quantify RNAs associated with polysomes (POL-Seq) in parallel with total cytoplasmic RNA (RNA-Seq) in an established mouse model of severe SMA at both early and late-symptomatic stages. This approach enables the simultaneous identification of variations in RNA populations at both translatome (RNAs engagement with polysomes) and transcriptome (steady state cytoplasmic RNAs) levels. Keywords: motor neuron disease, spinal muscular atrophy, SMA,SMN, translation, polysome profiling, POL-Seq, RNA-Seq	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE102204	In Vivo Translatome Profiling in Spinal Muscular Atrophy Reveals a Role for SMN Protein in Ribosome Biology.	Cell reports	7.815	https://doi.org/10.1016/j.celrep.2017.10.010	{Cell reports (7.815): 10.1016/j.celrep.2017.10.010}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA397005	https://www.ebi.ac.uk/ena/browser/view/PRJNA397005	https://www.ncbi.nlm.nih.gov/sra?term=SRP114759
GSE129818	Mus musculus	18	Expression profiling by high throughput sequencing; Other	GPL13112	Next Generation Sequencing Facilitates Quantitative Analysis of Wild Type and FMCD mice Translatomics	2019-04-15	We performed rigorous ribosome profiling in FMCD mouse models with human MTOR point mutations. By obtaining about 10 million bases of sequence from FACS sorted mutation carrying cells in FMCD, we generated genome-wide translatome and transcriptome data of cortical neuron of FMCD.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE129818	Brain somatic mutations in MTOR reveal translational dysregulations underlying intractable focal epilepsy.	The Journal of clinical investigation	12.282	https://doi.org/10.1172/JCI127032	{The Journal of clinical investigation (12.282): 10.1172/JCI127032}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA532897	https://www.ebi.ac.uk/ena/browser/view/PRJNA532897	https://www.ncbi.nlm.nih.gov/sra?term=SRP192590
GSE61375	Homo sapiens	13	Expression profiling by high throughput sequencing	GPL11154	Ribosome profiling upon inhibition of eIF4A	2014-09-12	Ribosome profiling of MDA-MB-231 cells treated with Silvestrol to monitor transcriptome wide, eIF4A-dependent changes in translation efficiency	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61375	Transcriptome-wide characterization of the eIF4A  signature highlights plasticity in translation  regulation.	Genome biology	14.028	https://doi.org/10.1186/s13059-014-0476-1	{Genome biology (14.028): 10.1186/s13059-014-0476-1}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA260909	https://www.ebi.ac.uk/ena/browser/view/PRJNA260909	https://www.ncbi.nlm.nih.gov/sra?term=SRP047065
GSE138643	Homo sapiens	41	Expression profiling by high throughput sequencing	GPL16791	Stop Codon Context Influences Genome-Wide Stimulation of Termination Codon Readthrough by Aminoglycosides	2019-10-09	This SuperSeries is composed of the SubSeries listed below.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE138643	Stop codon context influences genome-wide stimulation of termination codon readthrough by aminoglycosides.	eLife	7.551	https://doi.org/10.7554/eLife.52611	{eLife (7.551): 10.7554/eLife.52611}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA576648	https://www.ebi.ac.uk/ena/browser/view/PRJNA576648	None
GSE68707	Histoplasma capsulatum	24	Expression profiling by high throughput sequencing; Other	GPL20173	Genome-wide reprogramming of transcript architecture by temperature specifies the developmental states of the human pathogen Histoplasma	2015-05-08	This SuperSeries is composed of the SubSeries listed below.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68707	Genome-Wide Reprogramming of Transcript Architecture by Temperature Specifies the Developmental States of the Human Pathogen Histoplasma.	PLoS genetics	5.224	https://doi.org/10.1371/journal.pgen.1005395	{PLoS genetics (5.224): 10.1371/journal.pgen.1005395}	'total RNA', 'polyA RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA283424	https://www.ebi.ac.uk/ena/browser/view/PRJNA283424	None
GSE131074	Homo sapiens	15	Expression profiling by high throughput sequencing; Other	GPL20795	Ribosome profiling of eIF3e-KD MCF-10a cells	2019-05-13	eIF3 is a multi-subunit complex thought to execute numerous functions in canonical translation initiation, including mRNA recruitment to the 40S ribosome, scanning for the start codon, and inhibition of 60S subunit joining 1–3. eIF3 was also found to interact with 40S and 60S ribosomal proteins and translation elongation factors 4, but a direct involvement in translation elongation has never been demonstrated. Using selective ribosome profiling, we made the unexpected observation that eIF3 remains bound to post-initiation 80S ribosomes, followed by release after translation of ~50 codons. Furthermore, eIF3 deficiency reduces early ribosomal elongation speed, particularly on mRNAs encoding proteins associated with membrane-associated functions, resulting in defective synthesis of their encoded proteins and abnormal mitochondrial and lysosomal physiology. Accordingly, heterozygous eIF3e+/- knockout mice accumulate giant mitochondria in skeletal muscle and show a progressive decline in muscle strength with age. Hence, in addition to its canonical role in translation initiation, eIF3 interacts with 80S ribosomes to enhance, at the level of early elongation, the synthesis of proteins with membrane-associated functions, an activity that is critical for normal muscle health.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE131074	eIF3 Associates with 80S Ribosomes to Promote Translation Elongation, Mitochondrial Homeostasis, and Muscle Health.	Molecular cell	14.548	https://doi.org/10.1016/j.molcel.2020.06.003	{Molecular cell (14.548): 10.1016/j.molcel.2020.06.003}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA542601	https://www.ebi.ac.uk/ena/browser/view/PRJNA542601	https://www.ncbi.nlm.nih.gov/sra?term=SRP198221
GSE142822	Homo sapiens	57	Expression profiling by high throughput sequencing	GPL18573	Anti-tumor immunity induces the presentation of aberrant peptides in melanoma	2020-01-02	Extensive tumor inflammation, reflected by high levels of infiltrating T-cells and Interferon gamma (IFNγ) signaling, is thought to improve checkpoint immunotherapy response. However, many tumors escape by activating multiple cellular pathways that induce immunosuppression. One pivotal immune-suppressive mechanism is the production of Tryptophan metabolites along the kynurenine pathway by IFNγ-induced IDO1 enzyme production. However, phase III clinical trials using chemical inhibition of IDO1 in combination with PD1 pathway blockade failed to improve melanoma treatment, suggesting incomplete understanding of the role of IDO1 and the consequent Tryptophan degradation on mRNA translation and cancer progression. Here, we investigated the effects of prolonged IFNγ treatment on mRNA translation in melanoma cells by ribosome profiling. Our results suggest that IFNγ-induced IDO1-mediated Tryptophan depletion may play a key role in the immune recognition of melanoma cells, by inducing the production and presentation of aberrant peptides.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE142822	Anti-tumour immunity induces aberrant peptide presentation in melanoma.	Nature	43.07	https://doi.org/10.1038/s41586-020-03054-1	{Nature (43.070): 10.1038/s41586-020-03054-1}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA598557	https://www.ebi.ac.uk/ena/browser/view/PRJNA598557	https://www.ncbi.nlm.nih.gov/sra?term=SRP239266
GSE128324	Homo sapiens	28	Other	GPL11154; GPL18573; GPL26303; GPL26306	Translation and transcription start site profiling of HSV-1 infected cells	2019-03-14	This SuperSeries is composed of the SubSeries listed below.	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE128324	Integrative functional genomics decodes herpes simplex virus 1.	Nature communications	11.878	https://doi.org/10.1038/s41467-020-15992-5	{Nature communications (11.878): 10.1038/s41467-020-15992-5}	'total RNA'	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA527125	https://www.ebi.ac.uk/ena/browser/view/PRJNA527125	None
