GSE,title,oragnism,dataset_type,platform,number_of_samples,ftp,sra_run_selector,bioproject
GSE100626,Transcriptome-wide analysis of roles for tRNA modifications in translational regulation,Saccharomyces cerevisiae,,GPL19756,232,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100626/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA392312,PRJNA392312
GSE128680,"Multiscale gene expression profiling of 1 cm root tips of control and submerged Oryza sativa, Medicago truncatula, Solanum lycopersicum and Solanum pennellii seedlings",Solanum lycopersicum; Medicago truncatula; Solanum pennellii; Oryza sativa Japonica Group,,8 related Platforms,231,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128680/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA528488,PRJNA528488
GSE168445,Transcriptome and translatome of ribosomal protein-deficient human cells,Homo sapiens,,['GPL24676'],204,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168445/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA707431,PRJNA707431
GSE135336,Paralog-specific phenotypes of ribosomal protein mutants identify translational control mechanisms in the cell cycle and replicative longevity,Saccharomyces cerevisiae,,GPL21656,192,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135336/,,
GSE149805,Cell-type specific translational changes in prion diseases,Mus musculus,,GPL17021,186,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149805/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA630198,PRJNA630198
GSE134020,Mammalian RNA decay pathways are highly specialized and widely linked to translation,Mus musculus,,['GPL17021'],183,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134020/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA553494,PRJNA553494
GSE200422,Parsing the role of NSP1 in SARS-CoV-2 infection,Mesocricetus auratus; Chlorocebus sabaeus; Severe acute respiratory syndrome coronavirus 2; Homo sapiens,,4 related Platforms,159,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200422/,,
GSE173508,Discovery and functional interrogation of the virus and host RNA interactome of SARS-CoV-2 proteins,Homo sapiens; Chlorocebus sabaeus,,4 related Platforms,159,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173508/,,
GSE158930,Translational landscape of SARS-CoV-2 and infected cells,Chlorocebus sabaeus; Homo sapiens,,"['GPL18573', 'GPL11154']",156,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158930/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA667051,PRJNA667051
GSE100391,Comprehensive analysis of adrenocortical steroidogenesis in human and mouse,Homo sapiens; Mus musculus,,4 related Platforms,136,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100391/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391696,PRJNA391696
GSE86110,Roquin suppresses PI3K-mTOR signaling to control T cell differentiation and Treg effector function,Mus musculus,,['GPL18480'],126,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86110/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA340280,PRJNA340280
GSE112223,Translation elongation rate varies among organs and decreases with age,Mus musculus,,4 related Platforms,122,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112223/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA445295,PRJNA445295
GSE68265,Dissection of the translational impacts of the PERK pathway,Mus musculus,,GPL17021,120,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68265/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA282960,PRJNA282960
GSE110323,Histone H3 Trimethylation at Lysine 36 (H3K36me3) Guides m6A RNA Modification,Mus musculus; Homo sapiens,,"['GPL16791', 'GPL20301']",119,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110323/,,
GSE69602,Ribosome profiling analysis of Dengue Virus,Homo sapiens,,GPL16791,116,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69602/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA285961,PRJNA285961
GSE162169,Spurious regulatory connections dictate the expression-fitness landscape of translation factors,Bacillus subtilis,,"['GPL24109', 'GPL21373']",107,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162169/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA680784,PRJNA680784
GSE165782,Ultrasensitive Ribo-seq reveals translational landscapes during mammalian oocyte-to-embryo transition and pre-implantation development,Mus musculus,,['GPL18480'],105,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165782/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA697913,PRJNA697913
GSE112276,Transcriptome Mapping of Internal N7-methylguanosine Methylome in Mammalian mRNA,Homo sapiens; Mus musculus,,"['GPL19057', 'GPL18573']",104,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112276/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA445453,PRJNA445453
GSE134660,The Dynamics of Cytoplasmic mRNA Metabolism,Mus musculus,,GPL17021,101,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134660/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA556006,PRJNA556006
GSE183472,Controlling tissue patterning by translational regulation of signaling transcripts through the core translation factor eIF3c,Mus musculus,,GPL19057,100,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183472/,,
GSE67387,Optimization of codon translation rates via tRNA modifications maintains proteome integrity,Caenorhabditis elegans; Saccharomyces cerevisiae,,['GPL19958'],98,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67387/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA279785,PRJNA279785
GSE183470,Controlling tissue patterning by translational regulation of signaling transcripts through the core translation factor eIF3c [I],Mus musculus,,GPL19057,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183470/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA760922,PRJNA760922
GSE162730,Reduced Physical Activity Alters the Leucine-Stimulated Translatome in Aged Skeletal Muscle,Homo sapiens,,GPL11154,96,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162730/,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA682757,PRJNA682757
