	0	1	2	3	4
0					
1	Transcriptome-wide_analysis_of_roles_for_tRNA_modifications_in_translational_regulation	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100626/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA392312	PRJNA392312
2	Multiscale_gene_expression_profiling_of_1_cm_root_tips_of_control_and_submerged_Oryza_sativa,_Medicago_truncatula,_Solanum_lycopersicum_and_Solanum_pennellii_seedlings	Solanum lycopersicum; Medicago truncatula; Solanum pennellii; Oryza sativa Japonica Group	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE128nnn/GSE128680/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA528488	PRJNA528488
3	Transcriptome_and_translatome_of_ribosomal_protein-deficient_human_cells	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE168nnn/GSE168445/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA707431	PRJNA707431
4	Paralog-specific_phenotypes_of_ribosomal_protein_mutants_identify_translational_control_mechanisms_in_the_cell_cycle_and_replicative_longevity	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE135nnn/GSE135336/		
5	Cell-type_specific_translational_changes_in_prion_diseases	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE149nnn/GSE149805/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA630198	PRJNA630198
6	Mammalian_RNA_decay_pathways_are_highly_specialized_and_widely_linked_to_translation	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134020/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA553494	PRJNA553494
7	Parsing_the_role_of_NSP1_in_SARS-CoV-2_infection	Mesocricetus auratus; Chlorocebus sabaeus; Severe acute respiratory syndrome coronavirus 2; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE200nnn/GSE200422/		
8	Discovery_and_functional_interrogation_of_the_virus_and_host_RNA_interactome_of_SARS-CoV-2_proteins	Homo sapiens; Chlorocebus sabaeus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173508/		
9	Translational_landscape_of_SARS-CoV-2_and_infected_cells	Chlorocebus sabaeus; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158930/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA667051	PRJNA667051
10	Comprehensive_analysis_of_adrenocortical_steroidogenesis_in_human_and_mouse	Homo sapiens; Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE100nnn/GSE100391/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA391696	PRJNA391696
11	Roquin_suppresses_PI3K-mTOR_signaling_to_control_T_cell_differentiation_and_Treg_effector_function	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE86nnn/GSE86110/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA340280	PRJNA340280
12	Translation_elongation_rate_varies_among_organs_and_decreases_with_age	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112223/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA445295	PRJNA445295
13	Dissection_of_the_translational_impacts_of_the_PERK_pathway	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE68nnn/GSE68265/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA282960	PRJNA282960
14	Histone_H3_Trimethylation_at_Lysine_36_(H3K36me3)_Guides_m6A_RNA_Modification	Mus musculus; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE110nnn/GSE110323/		
15	Ribosome_profiling_analysis_of_Dengue_Virus	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE69nnn/GSE69602/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA285961	PRJNA285961
16	Spurious_regulatory_connections_dictate_the_expression-fitness_landscape_of_translation_factors	Bacillus subtilis	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE162nnn/GSE162169/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA680784	PRJNA680784
17	Ultrasensitive_Ribo-seq_reveals_translational_landscapes_during_mammalian_oocyte-to-embryo_transition_and_pre-implantation_development	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165782/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA697913	PRJNA697913
18	Transcriptome_Mapping_of_Internal_N7-methylguanosine_Methylome_in_Mammalian_mRNA	Homo sapiens; Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE112nnn/GSE112276/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA445453	PRJNA445453
19	The_Dynamics_of_Cytoplasmic_mRNA_Metabolism	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE134nnn/GSE134660/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA556006	PRJNA556006
20	Controlling_tissue_patterning_by_translational_regulation_of_signaling_transcripts_through_the_core_translation_factor_eIF3c	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183472/		
21	Optimization_of_codon_translation_rates_via_tRNA_modifications_maintains_proteome_integrity	Caenorhabditis elegans; Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE67nnn/GSE67387/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA279785	PRJNA279785
