	0	1	2	3	4
0					
1	Ribo-seq_(Ribosome_profiling)_analyses_in_human_multiple_myeloma_cells	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE155nnn/GSE155917/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA656190	PRJNA656190
2	Bi-directional_ribosome_scanning_controls_the_stringency_of_start_codon_selection	Mus musculus; Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE176nnn/GSE176058/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA734658	PRJNA734658
3	RBMS1_regulates_lung_cancer_progression	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE171nnn/GSE171640/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA720396	PRJNA720396
4	Selection_of_cashmere_fineness_functional_genes_by_translatomics	Capra hircus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE186nnn/GSE186959/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA776890	PRJNA776890
5	Dynamic_O-GlcNAcylation_of_eIF3a_controls_translation_reinitiation_during_integrated_stress_response	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181040/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA750456	PRJNA750456
6	Determine_the_effects_of_METTL16_on_global_translation_efficiency_via_ribosome_profiling_(Ribo-seq)	Homo sapiens	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156796/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA659038	PRJNA659038
7	Valine_tRNA_biogenesis_and_bioavailability_regulates_mitochondrial_complex_I_levels_in_acute_leukemia_[Ribo-Seq]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE167nnn/GSE167535/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA704908	PRJNA704908
8	Transcription-wide_distribution_of_dihydrouridine_(D)_into_mRNAs_reveals_its_requirement_for_meiotic_chromosome_segregation_[Ribo/RNA-seq]	Schizosaccharomyces pombe	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE181nnn/GSE181824/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA753526	PRJNA753526
9	Dynamic_changes_in_tRNA_modifications_and_abundance_during_T-cell_activation_[RNA/Ribo-seq]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE165nnn/GSE165536/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA694918	PRJNA694918
10	RNA_Sequencing_and_Ribosome_profiling_of_GIR2_and_PUB1_knockout_yeast_strains.	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185286/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA768456	PRJNA768456
11	RNA_Sequencing_and_Ribosome_profiling_of_TMA46,_STM1_and_YGR054W_knockout_yeast_strains	Saccharomyces cerevisiae	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185458/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA769126	PRJNA769126
12	Controlling_tissue_patterning_by_translational_regulation_of_signaling_transcripts_through_the_core_translation_factor_eIF3c_[I]	Mus musculus	ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE183nnn/GSE183470/	https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA760922	PRJNA760922
