Accession,Title,Organism,Samples,SRA,Release_Date,All_protocols,seq_types,GSE,GSE_Supplementary,BioProject,PMID,authors,abstract,title,doi,date_published,PMC,journal
GSE180669,Ribosome profiling in DDX3X degron cell lines and complementation with sex-linked paralogs,Homo sapiens,16,SRP329509,2021-11-24,,Expression profiling by high throughput sequencing;Other,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE180669,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE180nnn/GSE180669/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA749053,34535544," Srivats Venkataramanan,  Margaret Gadek,  Lorenzo Calviello,  Kevin Wilkins,  Stephen N Floor",DDX3 is a DEAD-box RNA helicase that regulates translation and is encoded by the,DDX3X and DDX3Y are redundant in protein synthesis.,10.1261/rna.078926.121,2021 Dec,PMC8594478,"RNA (New York, N.Y.)"
GSE156796,Determine the effects of METTL16 on global translation efficiency via ribosome profiling (Ribo-seq),Homo sapiens,8,SRP278667,2021-10-28,,Other;Expression profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE156796,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE156nnn/GSE156796/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA659038,,,,,,,,
GSE185286,RNA Sequencing and Ribosome profiling of GIR2 and PUB1 knockout yeast strains.,Saccharomyces cerevisiae,26,SRP339974,2021-10-11,,Expression profiling by high throughput sequencing;Other,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185286,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185286/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA768456,34900236," Artyom A Egorov,  Desislava S Makeeva,  Nadezhda E Makarova,  Dmitri A Bykov,  Yanislav S Hrytseniuk,  Olga V Mitkevich,  Valery N Urakov,  Alexander I Alexandrov,  Ivan V Kulakovskiy,  Sergey E Dmitriev","In eukaryotes, stalled and collided ribosomes are recognized by several conserved multicomponent systems, which either block protein synthesis in situ and resolve the collision locally, or trigger a general stress response. Yeast ribosome-binding GTPases RBG1 (DRG1 in mammals) and RBG2 (DRG2) form two distinct heterodimers with TMA46 (DFRP1) and GIR2 (DFRP2), respectively, both involved in mRNA translation. Accumulated evidence suggests that the dimers play partially redundant roles in elongation processivity and resolution of ribosome stalling and collision events, as well as in the regulation of GCN1-mediated signaling involved in ribosome-associated quality control (RQC). They also genetically interact with SLH1 (ASCC3) helicase, a key component of RQC trigger (RQT) complex disassembling collided ribosomes. Here, we present RNA-Seq and ribosome profiling (Ribo-Seq) data from S. cerevisiae strains with individual deletions of the TMA46 and GIR2 genes. Raw RNA-Seq and Ribo-Seq data as well as gene-level read counts are available in NCBI Gene Expression Omnibus (GEO) repository under GEO accession GSE185458 and GSE185286.",Ribo-Seq and RNA-Seq of TMA46 ( DFRP1) and GIR2 ( DFRP2) knockout yeast strains.,10.12688/f1000research.74727.1,2021,PMC8637242,F1000Research
GSE185458,"RNA Sequencing and Ribosome profiling of TMA46, STM1 and YGR054W knockout yeast strains",Saccharomyces cerevisiae,32,SRP340281,2021-10-08,,Expression profiling by high throughput sequencing;Other,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE185458,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE185nnn/GSE185458/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA769126,34900236," Artyom A Egorov,  Desislava S Makeeva,  Nadezhda E Makarova,  Dmitri A Bykov,  Yanislav S Hrytseniuk,  Olga V Mitkevich,  Valery N Urakov,  Alexander I Alexandrov,  Ivan V Kulakovskiy,  Sergey E Dmitriev","In eukaryotes, stalled and collided ribosomes are recognized by several conserved multicomponent systems, which either block protein synthesis in situ and resolve the collision locally, or trigger a general stress response. Yeast ribosome-binding GTPases RBG1 (DRG1 in mammals) and RBG2 (DRG2) form two distinct heterodimers with TMA46 (DFRP1) and GIR2 (DFRP2), respectively, both involved in mRNA translation. Accumulated evidence suggests that the dimers play partially redundant roles in elongation processivity and resolution of ribosome stalling and collision events, as well as in the regulation of GCN1-mediated signaling involved in ribosome-associated quality control (RQC). They also genetically interact with SLH1 (ASCC3) helicase, a key component of RQC trigger (RQT) complex disassembling collided ribosomes. Here, we present RNA-Seq and ribosome profiling (Ribo-Seq) data from S. cerevisiae strains with individual deletions of the TMA46 and GIR2 genes. Raw RNA-Seq and Ribo-Seq data as well as gene-level read counts are available in NCBI Gene Expression Omnibus (GEO) repository under GEO accession GSE185458 and GSE185286.",Ribo-Seq and RNA-Seq of TMA46 ( DFRP1) and GIR2 ( DFRP2) knockout yeast strains.,10.12688/f1000research.74727.1,2021,PMC8637242,F1000Research
GSE158141,Ribosome Profiling with CNOT1 depletion,Homo sapiens,12,SRP282906,2021-8-23,,Expression profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE158141,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE158nnn/GSE158141/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA664116,34615539," Sarah L Gillen,  Chiara Giacomelli,  Kelly Hodge,  Sara Zanivan,  Martin Bushell,  Ania Wilczynska","BACKGROUND: Regulation of protein output at the level of translation allows for a rapid adaptation to dynamic changes to the cell's requirements. This precise control of gene expression is achieved by complex and interlinked biochemical processes that modulate both the protein synthesis rate and stability of each individual mRNA. A major factor coordinating this regulation is the Ccr4-Not complex. Despite playing a role in most stages of the mRNA life cycle, no attempt has been made to take a global integrated view of how the Ccr4-Not complex affects gene expression. RESULTS: This study has taken a comprehensive approach to investigate post-transcriptional regulation mediated by the Ccr4-Not complex assessing steady-state mRNA levels, ribosome position, mRNA stability, and protein production transcriptome-wide. Depletion of the scaffold protein CNOT1 results in a global upregulation of mRNA stability and the preferential stabilization of mRNAs enriched for G/C-ending codons. We also uncover that mRNAs targeted to the ER for their translation have reduced translational efficiency when CNOT1 is depleted, specifically downstream of the signal sequence cleavage site. In contrast, translationally upregulated mRNAs are normally localized in p-bodies, contain disorder-promoting amino acids, and encode nuclear localized proteins. Finally, we identify ribosome pause sites that are resolved or induced by the depletion of CNOT1. CONCLUSIONS: We define the key mRNA features that determine how the human Ccr4-Not complex differentially regulates mRNA fate and protein synthesis through a mechanism linked to codon composition, amino acid usage, and mRNA localization.",Differential regulation of mRNA fate by the human Ccr4-Not complex is driven by coding sequence composition and mRNA localization.,10.1186/s13059-021-02494-w,2021 Oct 6,PMC8496106,Genome biology
GSE173856,RiboDoc: a Docker-based package for ribosome profiling analysis,Saccharomyces cerevisiae,4,SRP318454,2021-8-04,,Expression profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE173856,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE173nnn/GSE173856/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA727314,34093996," Pauline Francois,  Hugo Arbes,  Stephane Demais,  Agnes Baudin-Baillieu,  Olivier Namy","Ribosome profiling (RiboSeq) has emerged as a powerful technique for studying the genome-wide regulation of translation in various cells. Several steps in the biological protocol have been improved, but the bioinformatics part of RiboSeq suffers from a lack of standardization, preventing the straightforward and complete reproduction of published results. Too many published studies provide insufficient detail about the bioinformatics pipeline used. The broad range of questions that can be asked with RiboSeq makes it difficult to use a single bioinformatics tool. Indeed, many scripts have been published for addressing diverse questions. Here (https://github.com/equipeGST/RiboDoc), we propose a unique tool (for use with multiple operating systems, OS) to standardize the general steps that must be performed systematically in RiboSeq analysis, together with the statistical analysis and quality control of the sample. The data generated can then be exploited with more specific tools. We hope that this tool will help to standardize bioinformatics analyses pipelines in the field of translation.",RiboDoc: A Docker-based package for ribosome profiling analysis.,10.1016/j.csbj.2021.05.014,2021,PMC8141510,Computational and structural biotechnology journal
GSE136940,Humans and other commonly used model organisms are resistant to cycloheximide-mediated biases in ribosome profiling experiments,Candida albicans;Homo sapiens;Saccharomyces cerevisiae;Schizosaccharomyces pombe,33,SRP220473,2021-7-28,,Expression profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE136940,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE136nnn/GSE136940/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA564089,34429433," Puneet Sharma,  Jie Wu,  Benedikt S Nilges,  Sebastian A Leidel","Ribosome profiling measures genome-wide translation dynamics at sub-codon resolution. Cycloheximide (CHX), a widely used translation inhibitor to arrest ribosomes in these experiments, has been shown to induce biases in yeast, questioning its use. However, whether such biases are present in datasets of other organisms including humans is unknown. Here we compare different CHX-treatment conditions in human cells and yeast in parallel experiments using an optimized protocol. We find that human ribosomes are not susceptible to conformational restrictions by CHX, nor does it distort gene-level measurements of ribosome occupancy, measured decoding speed or the translational ramp. Furthermore, CHX-induced codon-specific biases on ribosome occupancy are not detectable in human cells or other model organisms. This shows that reported biases of CHX are species-specific and that CHX does not affect the outcome of ribosome profiling experiments in most settings. Our findings provide a solid framework to conduct and analyze ribosome profiling experiments.",Humans and other commonly used model organisms are resistant to cycloheximide-mediated biases in ribosome profiling experiments.,10.1038/s41467-021-25411-y,2021 Aug 24,PMC8384890,Nature communications
GSE130465,Multiplexed functional genomic analysis of somatic 5' untranslated region mutations across the spectrum of human prostate cancer (Ribosome Profiling),Homo sapiens,30,SRP194188,2021-5-17,,Expression profiling by high throughput sequencing;Other,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE130465,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE130nnn/GSE130465/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA540298,34244513," Yiting Lim,  Sonali Arora,  Samantha L Schuster,  Lukas Corey,  Matthew Fitzgibbon,  Cynthia L Wladyka,  Xiaoying Wu,  Ilsa M Coleman,  Jeffrey J Delrow,  Eva Corey,  Lawrence D True,  Peter S Nelson,  Gavin Ha,  Andrew C Hsieh",The functional consequences of genetic variants within 5' untranslated regions (UTRs) on a genome-wide scale are poorly understood in disease. Here we develop a high-throughput multi-layer functional genomics method called PLUMAGE (Pooled full-length UTR Multiplex Assay on Gene Expression) to quantify the molecular consequences of somatic 5' UTR mutations in human prostate cancer. We show that 5' UTR mutations can control transcript levels and mRNA translation rates through the creation of DNA binding elements or RNA-based cis-regulatory motifs. We discover that point mutations can simultaneously impact transcript and translation levels of the same gene. We provide evidence that functional 5' UTR mutations in the MAP kinase signaling pathway can upregulate pathway-specific gene expression and are associated with clinical outcomes. Our study reveals the diverse mechanisms by which the mutational landscape of 5' UTRs can co-opt gene expression and demonstrates that single nucleotide alterations within 5' UTRs are functional in cancer.,Multiplexed functional genomic analysis of 5' untranslated region mutations across the spectrum of prostate cancer.,10.1038/s41467-021-24445-6,2021 Jul 9,PMC8270899,Nature communications
GSE157361,Ebp1-selective ribosome profiling analysis of Neuro2a cells with Ebp1-immuno-precipitation,Mus musculus,4,SRP279771,2021-3-23,,Expression profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157361,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157361/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA661060,33357414," Matthew L Kraushar,  Ferdinand Krupp,  Dermot Harnett,  Paul Turko,  Mateusz C Ambrozkiewicz,  Thiemo Sprink,  Koshi Imami,  Manuel Gunnigmann,  Ulrike Zinnall,  Carlos H Vieira-Vieira,  Theres Schaub,  Agnieszka Munster-Wandowski,  Jorg Burger,  Ekaterina Borisova,  Hiroshi Yamamoto,  Mladen-Roko Rasin,  Uwe Ohler,  Dieter Beule,  Thorsten Mielke,  Victor Tarabykin,  Markus Landthaler,  Gunter Kramer,  Imre Vida,  Matthias Selbach,  Christian M T Spahn","Protein synthesis must be finely tuned in the developing nervous system as the final essential step of gene expression. This study investigates the architecture of ribosomes from the neocortex during neurogenesis, revealing Ebp1 as a high-occupancy 60S peptide tunnel exit (TE) factor during protein synthesis at near-atomic resolution by cryoelectron microscopy (cryo-EM). Ribosome profiling demonstrated Ebp1-60S binding is highest during start codon initiation and N-terminal peptide elongation, regulating ribosome occupancy of these codons. Membrane-targeting domains emerging from the 60S tunnel, which recruit SRP/Sec61 to the shared binding site, displace Ebp1. Ebp1 is particularly abundant in the early-born neural stem cell (NSC) lineage and regulates neuronal morphology. Ebp1 especially impacts the synthesis of membrane-targeted cell adhesion molecules (CAMs), measured by pulsed stable isotope labeling by amino acids in cell culture (pSILAC)/bioorthogonal noncanonical amino acid tagging (BONCAT) mass spectrometry (MS). Therefore, Ebp1 is a central component of protein synthesis, and the ribosome TE is a focal point of gene expression control in the molecular specification of neuronal morphology during development.",Protein Synthesis in the Developing Neocortex at Near-Atomic Resolution Reveals Ebp1-Mediated Neuronal Proteostasis at the 60S Tunnel Exit.,10.1016/j.molcel.2020.11.037,2021 Jan 21,PMC8163098,Molecular cell
GSE157423,Ribosome profiling analysis of Neuro2a cells with Ebp1 knockdown,Mus musculus,12,SRP279969,2021-3-23,,Expression profiling by high throughput sequencing,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE157423,ftp://ftp.ncbi.nlm.nih.gov/geo/series/GSE157nnn/GSE157423/suppl,https://www.ncbi.nlm.nih.gov/Traces/study/?acc=PRJNA661275,33357414," Matthew L Kraushar,  Ferdinand Krupp,  Dermot Harnett,  Paul Turko,  Mateusz C Ambrozkiewicz,  Thiemo Sprink,  Koshi Imami,  Manuel Gunnigmann,  Ulrike Zinnall,  Carlos H Vieira-Vieira,  Theres Schaub,  Agnieszka Munster-Wandowski,  Jorg Burger,  Ekaterina Borisova,  Hiroshi Yamamoto,  Mladen-Roko Rasin,  Uwe Ohler,  Dieter Beule,  Thorsten Mielke,  Victor Tarabykin,  Markus Landthaler,  Gunter Kramer,  Imre Vida,  Matthias Selbach,  Christian M T Spahn","Protein synthesis must be finely tuned in the developing nervous system as the final essential step of gene expression. This study investigates the architecture of ribosomes from the neocortex during neurogenesis, revealing Ebp1 as a high-occupancy 60S peptide tunnel exit (TE) factor during protein synthesis at near-atomic resolution by cryoelectron microscopy (cryo-EM). Ribosome profiling demonstrated Ebp1-60S binding is highest during start codon initiation and N-terminal peptide elongation, regulating ribosome occupancy of these codons. Membrane-targeting domains emerging from the 60S tunnel, which recruit SRP/Sec61 to the shared binding site, displace Ebp1. Ebp1 is particularly abundant in the early-born neural stem cell (NSC) lineage and regulates neuronal morphology. Ebp1 especially impacts the synthesis of membrane-targeted cell adhesion molecules (CAMs), measured by pulsed stable isotope labeling by amino acids in cell culture (pSILAC)/bioorthogonal noncanonical amino acid tagging (BONCAT) mass spectrometry (MS). Therefore, Ebp1 is a central component of protein synthesis, and the ribosome TE is a focal point of gene expression control in the molecular specification of neuronal morphology during development.",Protein Synthesis in the Developing Neocortex at Near-Atomic Resolution Reveals Ebp1-Mediated Neuronal Proteostasis at the 60S Tunnel Exit.,10.1016/j.molcel.2020.11.037,2021 Jan 21,PMC8163098,Molecular cell
