Unnamed: 0,Title,Organism,Source,Strain/Genotype,Cell/Tissue,Description,Library_Strategy,Ribosome_position,Extraction_Protocol,Tags,Library_Strategy_Evidence,Ribosome_Position_Evidence
GSM3739076,WT_1_RNA, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample , total RNA, replicate1",RNA-seq study,NA,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},[rna],
GSM3739077,WT_2_RNA, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample , total RNA, replicate2",RNA-seq study,NA,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},[rna],
GSM3739078,WT_3_RNA, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample , total RNA, replicate3",RNA-seq study,NA,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},[rna],
GSM3739079,WT_4_RNA, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample , total RNA, replicate4",RNA-seq study,NA,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},[rna],
GSM3739080,WT_5_RNA, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample , total RNA, replicate5",RNA-seq study,NA,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},[rna],
GSM3739081,WT_1_RP, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample, Ribosome bound RNA, replicate1",Ribo-seq study,Inconclusive,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},"[ribo,rna]",No Key Words Found
GSM3739082,WT_2_RP, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample, Ribosome bound RNA, replicate2",Ribo-seq study,Inconclusive,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},"[ribo,rna]",No Key Words Found
GSM3739083,WT_3_RP, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample, Ribosome bound RNA, replicate3",Ribo-seq study,Inconclusive,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},"[ribo,rna]",No Key Words Found
GSM3739084,WT_4_RP, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample, Ribosome bound RNA, replicate4",Ribo-seq study,Inconclusive,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},"[ribo,rna]",No Key Words Found
GSM3739085,WT_5_RP, Homo sapiens,Normal prostate tissue,wild type/ normal,Normal prostate,"Wild type sample, Ribosome bound RNA, replicate5",Ribo-seq study,Inconclusive,Total RNA and ribosome-protected RNA were extracted following the protocol in the TruSeq Ribo Profile kit from Illumina RNA libraries were prepared for sequencing following the protocol in the TruSeq Ribo Profile kit from Illumina,{},"[ribo,rna]",No Key Words Found
